date,participant,respmap,trial,block,trialID,walkSpeed,targOnset,clickOnset,reactionTime,intensity,signalPresent,targResponse,correctResponse
2026-03-16,9649,L:Present R:absent,0,0,0,0,2.208266,2.903287,0.6950214,1.5,True,1,1
2026-03-16,9649,L:Present R:absent,0,0,0,0,3.240338,4.074018,0.8336799,1.5,True,1,1
2026-03-16,9649,L:Present R:absent,0,0,0,0,4.261082,4.962984,0.7019019,1.5,True,1,1
2026-03-16,9649,L:Present R:absent,0,0,0,0,5.281803,5.765446,0.4836431,1.5,False,0,1
2026-03-16,9649,L:Present R:absent,0,0,0,0,6.385632,6.864738,0.4791055,1.5,False,0,1
2026-03-16,9649,L:Present R:absent,1,0,1,0,3.634705,4.128057,0.4933519,1.5,True,1,1
2026-03-16,9649,L:Present R:absent,1,0,1,0,4.657241,5.123822,0.4665809,1.5,True,1,1
2026-03-16,9649,L:Present R:absent,1,0,1,0,5.677168,6.201362,0.5241938,1.5,False,0,1
2026-03-16,9649,L:Present R:absent,1,0,1,0,6.709585,7.252465,0.5428801,1.5,True,1,1
2026-03-16,9649,L:Present R:absent,2,0,2,1,2.859981,3.61158,0.7515991,1.5,False,0,1
2026-03-16,9649,L:Present R:absent,2,0,2,1,3.879164,4.373593,0.4944291,0.6,False,0,1
2026-03-16,9649,L:Present R:absent,2,0,2,1,4.925118,5.369334,0.4442158,0.55,False,0,1
2026-03-16,9649,L:Present R:absent,2,0,2,1,5.970791,6.401692,0.4309011,0.55,True,0,0
2026-03-16,9649,L:Present R:absent,5,0,5,2,2.576735,3.123665,0.5469294,0.6,False,1,0
2026-03-16,9649,L:Present R:absent,5,0,5,2,3.609988,4.1931,0.5831118,0.65,True,1,1
2026-03-16,9649,L:Present R:absent,5,0,5,2,4.642267,5.167723,0.525456,0.65,False,1,0
2026-03-16,9649,L:Present R:absent,5,0,5,2,5.669012,6.336253,0.6672411,0.7,False,0,1
2026-03-16,9649,L:Present R:absent,5,0,5,2,6.769583,7.314575,0.544992,0.7,False,0,1
2026-03-16,9649,L:Present R:absent,6,0,6,2,2.999441,3.565189,0.5657485,0.65,False,0,1
2026-03-16,9649,L:Present R:absent,6,0,6,2,4.038491,4.610165,0.5716739,0.65,True,1,1
2026-03-16,9649,L:Present R:absent,6,0,6,2,5.058686,5.591607,0.5329208,0.6,True,1,1
2026-03-16,9649,L:Present R:absent,6,0,6,2,6.107529,6.686839,0.5793095,0.6,True,1,1
2026-03-16,9649,L:Present R:absent,8,0,8,2,2.186188,2.816989,0.6308012,0.55,True,1,1
2026-03-16,9649,L:Present R:absent,8,0,8,2,3.224514,3.731551,0.5070374,0.55,True,1,1
2026-03-16,9649,L:Present R:absent,8,0,8,2,4.24337,4.698356,0.4549856,0.5,False,0,1
2026-03-16,9649,L:Present R:absent,8,0,8,2,5.272152,5.849346,0.5771937,0.5,True,1,1
2026-03-16,9649,L:Present R:absent,8,0,8,2,6.365012,6.929455,0.5644426,0.45,False,0,1
