date,participant,respmap,trial,block,trialID,walkSpeed,targOnset,clickOnset,reactionTime,intensity,signalPresent,targResponse,correctResponse
2026-03-23,9988,L:Absent R:Present,0,0,0,0,2.470022,2.487528,0.01750541,1.5,True,1,1
2026-03-23,9988,L:Absent R:Present,0,0,0,0,3.504863,3.522488,0.01762462,1.5,True,1,1
2026-03-23,9988,L:Absent R:Present,0,0,0,0,5.588185,6.23814,0.6499548,1.5,False,1,0
2026-03-23,9988,L:Absent R:Present,0,0,0,0,6.638907,6.656624,0.01771688,1.5,True,1,1
2026-03-23,9988,L:Absent R:Present,1,0,1,0,3.935702,4.740288,0.8045862,1.5,True,1,1
2026-03-23,9988,L:Absent R:Present,2,0,2,1,2.468946,2.932921,0.4639742,1.5,True,1,1
2026-03-23,9988,L:Absent R:Present,2,0,2,1,3.500511,3.959751,0.4592397,0.6,True,1,1
2026-03-23,9988,L:Absent R:Present,2,0,2,1,4.531912,4.958426,0.4265141,0.55,True,1,1
2026-03-23,9988,L:Absent R:Present,2,0,2,1,5.57258,5.951844,0.3792634,0.55,True,1,1
2026-03-23,9988,L:Absent R:Present,2,0,2,1,6.611675,6.931008,0.3193331,0.5,False,1,0
2026-03-23,9988,L:Absent R:Present,3,0,3,1,2.459933,2.861651,0.4017174,0.55,False,1,0
2026-03-23,9988,L:Absent R:Present,3,0,3,1,3.491851,3.865503,0.3736522,0.6,False,0,1
2026-03-23,9988,L:Absent R:Present,3,0,3,1,4.530292,4.938315,0.4080234,0.6,False,0,1
2026-03-23,9988,L:Absent R:Present,3,0,3,1,5.574778,5.970063,0.3952851,0.55,True,0,0
2026-03-23,9988,L:Absent R:Present,3,0,3,1,6.617362,6.974944,0.3575826,0.6,True,1,1
2026-03-23,9988,L:Absent R:Present,4,0,4,1,3.353237,3.705746,0.3525088,0.6,False,0,1
2026-03-23,9988,L:Absent R:Present,4,0,4,1,4.384592,4.676286,0.2916942,0.575,False,0,1
2026-03-23,9988,L:Absent R:Present,4,0,4,1,5.420698,5.769563,0.3488655,0.575,False,0,1
2026-03-23,9988,L:Absent R:Present,4,0,4,1,6.456058,6.88682,0.4307623,0.5500001,True,1,1
2026-03-23,9988,L:Absent R:Present,5,0,5,2,3.117133,3.485881,0.3687479,0.5500001,False,1,0
2026-03-23,9988,L:Absent R:Present,5,0,5,2,4.159662,4.551865,0.3922024,0.65,False,1,0
2026-03-23,9988,L:Absent R:Present,5,0,5,2,5.201749,6.009905,0.808156,0.7,True,1,1
2026-03-23,9988,L:Absent R:Present,5,0,5,2,6.353318,6.819894,0.4665761,0.7,True,1,1
2026-03-23,9988,L:Absent R:Present,6,0,6,2,3.008962,3.458233,0.4492712,0.65,True,1,1
2026-03-23,9988,L:Absent R:Present,6,0,6,2,4.046904,4.436143,0.3892393,0.65,False,0,1
2026-03-23,9988,L:Absent R:Present,6,0,6,2,5.091607,5.434886,0.3432784,0.6,True,1,1
2026-03-23,9988,L:Absent R:Present,6,0,6,2,6.133558,6.404323,0.2707653,0.6,False,0,1
2026-03-23,9988,L:Absent R:Present,7,0,7,2,2.742463,3.247044,0.5045812,0.55,True,1,1
2026-03-23,9988,L:Absent R:Present,7,0,7,2,3.768138,4.17105,0.4029119,0.55,True,1,1
2026-03-23,9988,L:Absent R:Present,7,0,7,2,4.805937,5.259267,0.4533296,0.5,True,1,1
2026-03-23,9988,L:Absent R:Present,7,0,7,2,5.833265,6.199941,0.3666759,0.5,True,0,0
2026-03-23,9988,L:Absent R:Present,7,0,7,2,6.892064,7.279156,0.3870921,0.55,True,1,1
2026-03-23,9988,L:Absent R:Present,8,0,8,2,2.181121,2.865091,0.6839705,0.55,True,1,1
2026-03-23,9988,L:Absent R:Present,8,0,8,2,3.224581,3.74885,0.5242686,0.5,False,0,1
2026-03-23,9988,L:Absent R:Present,8,0,8,2,4.269905,4.761902,0.4919972,0.5,False,0,1
2026-03-23,9988,L:Absent R:Present,8,0,8,2,5.306533,5.691613,0.3850803,0.475,True,1,1
2026-03-23,9988,L:Absent R:Present,8,0,8,2,6.414728,6.743087,0.3283591,0.475,True,1,1
2026-03-23,9988,L:Absent R:Present,9,0,9,2,2.63439,3.196423,0.5620327,0.45,False,0,1
2026-03-23,9988,L:Absent R:Present,9,0,9,2,3.68083,4.049956,0.3691261,0.45,True,0,0
2026-03-23,9988,L:Absent R:Present,9,0,9,2,4.708947,5.161854,0.4529066,0.475,False,0,1
2026-03-23,9988,L:Absent R:Present,9,0,9,2,5.994688,6.414971,0.4202833,0.475,False,1,0
2026-03-23,9988,L:Absent R:Present,10,0,10,2,2.502416,3.106041,0.6036246,0.5,False,0,1
2026-03-23,9988,L:Absent R:Present,10,0,10,2,3.541467,4.127582,0.5861142,0.5,True,1,1
2026-03-23,9988,L:Absent R:Present,10,0,10,2,4.578557,5.1565,0.5779433,0.475,False,0,1
2026-03-23,9988,L:Absent R:Present,10,0,10,2,5.625669,6.217278,0.5916085,0.475,False,0,1
2026-03-23,9988,L:Absent R:Present,10,0,10,2,6.650228,7.266804,0.6165767,0.45,True,1,1
2026-03-23,9988,L:Absent R:Present,11,0,11,2,2.865596,3.377441,0.5118451,0.45,False,0,1
2026-03-23,9988,L:Absent R:Present,11,0,11,2,3.90969,3.927871,0.01818109,0.425,True,0,0
2026-03-23,9988,L:Absent R:Present,11,0,11,2,4.952017,5.52876,0.5767431,0.45,True,1,1
2026-03-23,9988,L:Absent R:Present,11,0,11,2,7.012755,7.346457,0.3337016,0.45,True,1,1
2026-03-23,9988,L:Absent R:Present,12,0,12,2,2.21557,2.806479,0.5909088,0.425,False,0,1
