date,participant,respmap,trial,block,trialID,walkSpeed,targOnset,clickOnset,reactionTime,intensity,signalPresent,targResponse,correctResponse
2026-03-17,10006,L:Absent R:Present,0,0,0,0,3.067562,3.13515,0.06758809,1.5,True,1,1
2026-03-17,10006,L:Absent R:Present,0,0,0,0,6.385372,6.72421,0.3388381,1.5,True,1,1
2026-03-17,10006,L:Absent R:Present,1,0,1,0,2.551499,3.063413,0.5119135,1.5,True,1,1
2026-03-17,10006,L:Absent R:Present,1,0,1,0,3.586214,4.051048,0.4648342,1.5,True,1,1
2026-03-17,10006,L:Absent R:Present,1,0,1,0,5.667081,6.08791,0.4208288,1.5,True,1,1
2026-03-17,10006,L:Absent R:Present,1,0,1,0,6.685985,7.260184,0.5741992,1.5,False,0,1
2026-03-17,10006,L:Absent R:Present,2,0,2,1,2.466674,2.923752,0.4570785,1.5,True,1,1
2026-03-17,10006,L:Absent R:Present,2,0,2,1,3.512312,4.086781,0.5744689,0.6,False,0,1
2026-03-17,10006,L:Absent R:Present,2,0,2,1,4.551237,5.104553,0.5533161,0.55,True,1,1
2026-03-17,10006,L:Absent R:Present,2,0,2,1,5.570938,5.998994,0.4280567,0.55,True,0,0
2026-03-17,10006,L:Absent R:Present,2,0,2,1,6.608053,7.069247,0.461194,0.6,False,1,0
2026-03-17,10006,L:Absent R:Present,3,0,3,1,2.398924,2.805013,0.4060888,0.65,False,1,0
2026-03-17,10006,L:Absent R:Present,3,0,3,1,3.425647,4.026663,0.6010156,0.7,True,1,1
2026-03-17,10006,L:Absent R:Present,3,0,3,1,4.450617,4.956972,0.5063553,0.7,True,1,1
2026-03-17,10006,L:Absent R:Present,3,0,3,1,5.46905,6.025303,0.556253,0.65,True,1,1
2026-03-17,10006,L:Absent R:Present,3,0,3,1,6.51065,6.980924,0.4702744,0.65,True,1,1
2026-03-17,10006,L:Absent R:Present,4,0,4,1,1.895335,2.433213,0.5378789,0.6,True,1,1
2026-03-17,10006,L:Absent R:Present,4,0,4,1,2.916382,3.46994,0.5535581,0.6,True,1,1
2026-03-17,10006,L:Absent R:Present,4,0,4,1,3.954037,4.467202,0.5131652,0.55,False,0,1
2026-03-17,10006,L:Absent R:Present,4,0,4,1,4.981581,5.482683,0.501102,0.55,False,0,1
2026-03-17,10006,L:Absent R:Present,4,0,4,1,6.219956,6.732821,0.5128646,0.5,True,0,0
2026-03-17,10006,L:Absent R:Present,5,0,5,2,2.202226,2.715934,0.5137081,0.55,True,0,0
