date,participant,respmap,trial,block,trialID,walkSpeed,targOnset,clickOnset,reactionTime,intensity,signalPresent,targResponse,correctResponse
2026-03-20,10297,L:Absent R:Present,0,0,0,0,3.062024,3.270933,0.2089093,1.5,True,1,1
2026-03-20,10297,L:Absent R:Present,0,0,0,0,4.128993,4.88658,0.757587,1.5,True,1,1
2026-03-20,10297,L:Absent R:Present,0,0,0,0,6.197325,6.630304,0.4329786,1.5,False,0,1
2026-03-20,10297,L:Absent R:Present,1,0,1,0,1.703817,2.389866,0.6860492,1.5,True,1,1
2026-03-20,10297,L:Absent R:Present,1,0,1,0,2.748833,3.525763,0.7769303,1.5,True,1,1
2026-03-20,10297,L:Absent R:Present,1,0,1,0,3.772946,4.416727,0.6437807,1.5,True,1,1
2026-03-20,10297,L:Absent R:Present,1,0,1,0,4.826434,5.343373,0.5169392,1.5,False,0,1
2026-03-20,10297,L:Absent R:Present,1,0,1,0,6.049679,6.804183,0.7545037,1.5,False,0,1
2026-03-20,10297,L:Absent R:Present,2,0,2,1,2.298637,2.955514,0.6568773,1.5,False,0,1
2026-03-20,10297,L:Absent R:Present,2,0,2,1,3.332853,3.882923,0.5500708,0.6,True,0,0
2026-03-20,10297,L:Absent R:Present,2,0,2,1,5.385903,5.978425,0.5925212,0.65,True,1,1
2026-03-20,10297,L:Absent R:Present,2,0,2,1,6.435346,7.043037,0.6076918,0.65,True,1,1
2026-03-20,10297,L:Absent R:Present,3,0,3,1,1.883088,2.569309,0.6862209,0.6,False,0,1
2026-03-20,10297,L:Absent R:Present,3,0,3,1,2.916854,3.441825,0.5249712,0.6,False,0,1
2026-03-20,10297,L:Absent R:Present,3,0,3,1,3.946719,4.767208,0.8204882,0.55,True,1,1
2026-03-20,10297,L:Absent R:Present,3,0,3,1,4.982992,5.438174,0.4551816,0.55,True,0,0
2026-03-20,10297,L:Absent R:Present,3,0,3,1,6.186885,6.804617,0.6177316,0.6,True,1,1
2026-03-20,10297,L:Absent R:Present,4,0,4,1,2.540665,3.109961,0.5692964,0.6,False,0,1
2026-03-20,10297,L:Absent R:Present,4,0,4,1,3.590224,4.205985,0.6157615,0.55,True,1,1
2026-03-20,10297,L:Absent R:Present,4,0,4,1,4.625499,5.178704,0.553205,0.55,True,1,1
2026-03-20,10297,L:Absent R:Present,4,0,4,1,5.662831,6.234502,0.5716715,0.525,True,1,1
2026-03-20,10297,L:Absent R:Present,5,0,5,2,2.353349,2.865182,0.511833,0.525,False,0,1
2026-03-20,10297,L:Absent R:Present,5,0,5,2,5.473923,5.961915,0.4879918,0.6,False,0,1
2026-03-20,10297,L:Absent R:Present,5,0,5,2,6.513861,7.061788,0.5479269,0.55,True,1,1
2026-03-20,10297,L:Absent R:Present,6,0,6,2,2.191868,2.742126,0.5502582,0.55,True,1,1
2026-03-20,10297,L:Absent R:Present,6,0,6,2,3.218916,3.767133,0.5482166,0.5,False,0,1
2026-03-20,10297,L:Absent R:Present,6,0,6,2,4.252194,4.710063,0.4578695,0.5,True,1,1
2026-03-20,10297,L:Absent R:Present,6,0,6,2,5.275659,5.798664,0.523005,0.45,True,1,1
2026-03-20,10297,L:Absent R:Present,6,0,6,2,6.529973,7.077293,0.5473204,0.45,False,0,1
2026-03-20,10297,L:Absent R:Present,7,0,7,2,2.516278,3.103665,0.5873866,0.4,False,0,1
2026-03-20,10297,L:Absent R:Present,7,0,7,2,3.560089,4.022967,0.4628787,0.4,False,0,1
2026-03-20,10297,L:Absent R:Present,7,0,7,2,4.597883,5.003058,0.4051747,0.35,True,1,1
2026-03-20,10297,L:Absent R:Present,7,0,7,2,5.621055,6.134609,0.5135541,0.35,False,0,1
2026-03-20,10297,L:Absent R:Present,7,0,7,2,6.669418,7.088114,0.4186954,0.3,True,1,1
2026-03-20,10297,L:Absent R:Present,8,0,8,2,2.632221,3.111013,0.478792,0.3,False,0,1
2026-03-20,10297,L:Absent R:Present,8,0,8,2,3.670181,4.157337,0.4871559,0.25,True,1,1
2026-03-20,10297,L:Absent R:Present,8,0,8,2,5.726043,6.133791,0.4077482,0.25,True,0,0
2026-03-20,10297,L:Absent R:Present,8,0,8,2,6.762905,7.347989,0.585084,0.3,True,1,1
2026-03-20,10297,L:Absent R:Present,9,0,9,2,2.638614,3.181187,0.5425732,0.3,True,1,1
2026-03-20,10297,L:Absent R:Present,9,0,9,2,3.680015,4.204647,0.5246315,0.25,False,0,1
2026-03-20,10297,L:Absent R:Present,9,0,9,2,4.71855,5.205636,0.4870858,0.25,True,1,1
2026-03-20,10297,L:Absent R:Present,9,0,9,2,5.852075,6.341739,0.4896636,0.2,True,1,1
2026-03-20,10297,L:Absent R:Present,10,0,10,2,2.159968,2.74718,0.5872118,0.2,False,0,1
