date,participant,respmap,trial,block,trialID,walkSpeed,targOnset,clickOnset,reactionTime,intensity,signalPresent,targResponse,correctResponse
2026-03-24,9955,L:Present R:absent,0,0,0,0,2.146635,3.005579,0.8589437,1.5,True,1,1
2026-03-24,9955,L:Present R:absent,0,0,0,0,3.175899,3.194577,0.01867795,1.5,True,1,1
2026-03-24,9955,L:Present R:absent,0,0,0,0,4.211473,4.343098,0.1316242,1.5,False,1,0
2026-03-24,9955,L:Present R:absent,0,0,0,0,5.252367,6.046343,0.7939768,1.5,True,1,1
2026-03-24,9955,L:Present R:absent,3,0,3,1,2.801805,3.3791,0.5772955,1.5,False,0,1
2026-03-24,9955,L:Present R:absent,3,0,3,1,3.841971,4.604292,0.7623215,0.6,False,0,1
2026-03-24,9955,L:Present R:absent,3,0,3,1,4.879801,5.551375,0.6715741,0.55,True,1,1
2026-03-24,9955,L:Present R:absent,3,0,3,1,5.917192,6.45172,0.5345278,0.55,False,0,1
2026-03-24,9955,L:Present R:absent,4,0,4,1,2.515177,3.097465,0.5822883,0.5,True,1,1
2026-03-24,9955,L:Present R:absent,4,0,4,1,3.56303,4.114805,0.5517747,0.5,True,1,1
2026-03-24,9955,L:Present R:absent,4,0,4,1,4.589894,5.177831,0.5879369,0.45,True,1,1
2026-03-24,9955,L:Present R:absent,4,0,4,1,5.619799,6.014345,0.3945456,0.45,True,1,1
2026-03-24,9955,L:Present R:absent,4,0,4,1,6.659457,7.161623,0.5021658,0.4,True,1,1
2026-03-24,9955,L:Present R:absent,5,0,5,2,2.649178,3.446101,0.7969234,0.4,False,0,1
2026-03-24,9955,L:Present R:absent,5,0,5,2,3.685344,4.290905,0.605561,0.6,True,1,1
2026-03-24,9955,L:Present R:absent,5,0,5,2,4.715938,5.155285,0.4393473,0.55,True,1,1
2026-03-24,9955,L:Present R:absent,6,0,6,2,1.823462,2.433813,0.610351,0.55,True,1,1
2026-03-24,9955,L:Present R:absent,6,0,6,2,2.871319,3.356296,0.484977,0.5,True,1,1
2026-03-24,9955,L:Present R:absent,6,0,6,2,3.906233,4.402214,0.4959807,0.5,False,0,1
2026-03-24,9955,L:Present R:absent,6,0,6,2,4.938048,5.453722,0.5156741,0.45,False,0,1
2026-03-24,9955,L:Present R:absent,6,0,6,2,5.969606,6.469396,0.4997902,0.45,True,1,1
2026-03-24,9955,L:Present R:absent,7,0,7,2,2.244142,2.821456,0.5773137,0.4,True,1,1
2026-03-24,9955,L:Present R:absent,7,0,7,2,3.278315,3.775178,0.4968626,0.4,False,0,1
2026-03-24,9955,L:Present R:absent,7,0,7,2,4.31691,4.747648,0.4307375,0.35,True,1,1
2026-03-24,9955,L:Present R:absent,7,0,7,2,5.414677,5.833305,0.4186287,0.35,True,1,1
2026-03-24,9955,L:Present R:absent,7,0,7,2,6.588231,7.07797,0.4897389,0.3,True,0,0
2026-03-24,9955,L:Present R:absent,8,0,8,2,1.828284,2.341994,0.5137106,0.35,True,1,1
2026-03-24,9955,L:Present R:absent,8,0,8,2,2.870342,3.333671,0.4633286,0.35,True,1,1
2026-03-24,9955,L:Present R:absent,8,0,8,2,3.894087,4.356186,0.4620986,0.3,True,1,1
2026-03-24,9955,L:Present R:absent,8,0,8,2,4.931079,5.362573,0.4314938,0.3,True,1,1
