date,participant,respmap,trial,block,trialID,walkSpeed,targOnset,clickOnset,reactionTime,intensity,signalPresent,targResponse,correctResponse
2026-03-17,9643,L:Present R:absent,0,0,0,0,5.926478,6.498025,0.5715466,1.5,True,1,1
2026-03-17,9643,L:Present R:absent,2,0,2,1,2.228794,2.709474,0.4806798,1.5,False,1,0
2026-03-17,9643,L:Present R:absent,2,0,2,1,3.2631,4.136479,0.8733797,0.65,False,0,1
2026-03-17,9643,L:Present R:absent,2,0,2,1,4.306446,5.105069,0.7986236,0.65,True,1,1
2026-03-17,9643,L:Present R:absent,2,0,2,1,5.422538,5.901362,0.4788241,0.6,False,0,1
2026-03-17,9643,L:Present R:absent,2,0,2,1,6.702092,7.296005,0.5939126,0.6,False,1,0
2026-03-17,9643,L:Present R:absent,3,0,3,1,2.250754,3.002285,0.7515311,0.65,False,0,1
2026-03-17,9643,L:Present R:absent,3,0,3,1,3.285333,3.986729,0.701396,0.65,False,0,1
2026-03-17,9643,L:Present R:absent,3,0,3,1,4.320026,4.851311,0.5312848,0.6,False,0,1
2026-03-17,9643,L:Present R:absent,3,0,3,1,5.355902,5.88237,0.5264673,0.6,True,0,0
2026-03-17,9643,L:Present R:absent,3,0,3,1,6.376544,7.021879,0.6453352,0.625,True,1,1
2026-03-17,9643,L:Present R:absent,4,0,4,1,2.961706,3.909256,0.9475501,0.625,True,1,1
2026-03-17,9643,L:Present R:absent,4,0,4,1,3.984772,4.000992,0.01622033,0.6,True,1,1
2026-03-17,9643,L:Present R:absent,4,0,4,1,5.014556,5.882268,0.867712,0.6,True,1,1
2026-03-17,9643,L:Present R:absent,4,0,4,1,6.046384,6.06362,0.01723576,0.575,False,1,0
2026-03-17,9643,L:Present R:absent,4,0,4,1,7.077965,7.332029,0.2540641,0.6,False,0,1
2026-03-17,9643,L:Present R:absent,5,0,5,2,2.447241,3.473197,1.025956,0.6,False,0,1
2026-03-17,9643,L:Present R:absent,5,0,5,2,3.520048,3.537884,0.01783586,0.6,False,0,1
2026-03-17,9643,L:Present R:absent,5,0,5,2,4.552044,5.136243,0.584199,0.55,False,0,1
2026-03-17,9643,L:Present R:absent,5,0,5,2,5.582155,6.005955,0.4238,0.55,False,0,1
2026-03-17,9643,L:Present R:absent,5,0,5,2,6.620862,7.139067,0.5182047,0.5,False,0,1
2026-03-17,9643,L:Present R:absent,6,0,6,2,2.106226,3.090656,0.9844301,0.5,True,1,1
2026-03-17,9643,L:Present R:absent,6,0,6,2,3.140879,3.156665,0.01578665,0.45,False,1,0
2026-03-17,9643,L:Present R:absent,6,0,6,2,4.165311,4.265675,0.1003637,0.5,False,0,1
