1.775844,3.180557,4.550679,5.953394,
2.087114,3.231756,4.34479,5.516554,6.639369
1.435806,2.820457,4.159749,5.378628,6.625947
0.9406229,2.255856,3.619069,4.854494,6.045172
2.153031,3.226511,4.372587,5.613981,6.70296
1.500671,2.638648,3.745612,4.978637,6.260311
2.143646,3.256394,4.440876,5.598608,6.631758
1.569705,2.761153,4.06748,5.341518,6.65732
1.5281,2.818958,4.134696,5.505433,6.785937
0.9465961,2.336828,3.701555,4.910929,6.069142
1.690451,2.797926,3.934688,5.135892,6.351186
2.060635,3.245439,4.296582,5.335757,6.559835
1.562201,2.607399,3.740615,4.974907,6.078761
1.62003,2.659017,3.892031,5.13595,6.177124
1.36393,2.53579,3.826769,5.082298,6.166936
1.839387,3.008976,4.170631,5.371427,6.569511
1.12119,2.443116,3.807931,5.044359,6.314687
1.801371,3.001658,4.218646,5.367791,6.653829
1.731642,2.982104,4.127161,5.359157,6.597654
1.449536,2.681201,3.910032,5.147065,6.399086
1.449575,2.690688,3.861098,5.026577,6.167396
2.263095,3.638556,4.894376,6.320266,
0.9638844,2.127798,3.362258,4.63412,6.009345
1.85136,3.076832,4.388108,5.694151,6.769212
2.22252,3.555441,5.018455,6.429394,
1.925539,3.082587,4.326356,5.493927,6.793887
1.327315,2.600042,3.845766,5.106659,6.464915
1.629642,2.86469,3.979065,5.172916,6.210086
1.339216,2.57229,3.748268,5.019523,6.284031
0.8745009,2.258999,3.647507,4.972425,6.289148
1.769291,3.059966,4.361811,5.564282,6.83736
1.398668,2.544657,3.8037,4.941083,6.202324
1.095973,2.269316,3.483275,4.64619,5.813079
1.496352,2.683442,3.863466,5.039287,6.133519
1.109735,2.304218,3.46496,4.824863,6.145947
2.180963,3.326477,4.348485,5.536583,6.689668
0.8423041,2.017228,3.305591,4.628922,6.033045
1.139047,2.476345,3.682039,4.940008,6.183856
1.386791,2.677042,3.9728,5.32554,6.724361
1.796068,3.07469,4.433503,5.820114,
1.052723,2.317888,3.472437,4.629697,5.914289
1.608204,2.950732,4.206484,5.457374,6.599522
1.098451,2.311275,3.641248,4.922294,6.149233
1.236843,2.509352,3.736256,4.883554,6.027972
1.668843,2.84491,4.080391,5.301816,6.628178
1.492676,2.877482,4.174487,5.536125,6.901694
2.029459,3.178742,4.452408,5.536125,6.734597
1.886625,3.183156,4.344556,5.644168,6.798359
0.8042752,2.103541,3.456564,4.819012,6.188715
1.750067,2.848429,4.074937,5.235169,6.338492
2.064401,3.21647,4.330873,5.519462,6.665409
1.119967,2.434436,3.659161,4.84422,6.195028
1.501531,2.750894,4.019113,5.071309,6.312402
1.544126,2.799093,4.003496,5.281124,6.432584
1.99837,3.241853,4.306206,5.575732,6.712474
0.8308535,2.051488,3.263752,4.549597,5.822515
1.886727,3.062409,4.341763,5.540298,6.815395
1.780131,3.09072,4.472491,5.902641,
1.508389,2.694799,3.891719,5.134855,6.300393
1.464557,2.652748,3.851583,5.240761,6.57682
0.9583352,2.296475,3.594976,4.829497,6.089898
1.173387,2.309084,3.418443,4.760149,5.957677
1.467556,2.635524,3.798604,4.95239,6.139781
1.813099,2.921639,4.193698,5.373768,6.503609
2.131527,3.149491,4.23382,5.347346,6.474804
1.347348,2.586596,3.679774,4.899111,6.152478
2.01228,3.104529,4.197122,5.405425,6.583513
2.297638,3.628687,5.091772,6.455077,
1.13694,2.295294,3.519931,4.659106,5.80829
2.100346,3.361725,4.527767,5.70437,6.784782
1.273164,2.491294,3.593267,4.891828,6.163558
1.475603,2.762546,3.817879,4.983839,6.101234
0.8206835,2.190318,3.404031,4.806332,6.117958
1.145963,2.503475,3.854852,5.063506,6.423378
1.742724,3.110655,4.439161,5.905571,
0.9767153,2.23552,3.544177,4.909111,6.177195
2.206482,3.675474,5.155979,6.492783,
1.565152,2.832928,4.176698,5.441782,6.68176
1.404985,2.733361,4.097088,5.453758,6.774679
2.029524,3.107018,4.351119,5.515139,6.77542
2.163485,3.39212,4.529552,5.56445,6.65049
1.431999,2.660667,3.987319,5.231928,6.603248
1.74106,2.906594,4.148251,5.309343,6.590943
1.230366,2.495857,3.813801,4.960328,6.243645
1.620729,2.78629,3.959545,5.095994,6.285627
1.414154,2.660193,3.766973,4.833951,6.049188
2.141581,3.268579,4.324734,5.415913,6.62663
1.418471,2.545229,3.813675,5.097775,6.203556
0.9291506,2.176705,3.388979,4.642584,5.824777
1.571119,2.846053,4.046608,5.259004,6.352791
2.251431,3.515374,4.841145,6.309451,
1.06695,2.360292,3.684954,4.88573,6.032551
1.084158,2.28571,3.64685,4.928355,6.235669
1.940098,3.229006,4.444255,5.537493,6.661985
1.294343,2.409953,3.725193,5.04214,6.215237
1.077075,2.381448,3.531798,4.717369,6.024694
2.097733,3.196229,4.305961,5.415955,6.589108
1.437297,2.604125,3.809806,4.941509,6.086458
1.723807,2.976585,4.258619,5.537122,
1.943407,3.026974,4.104447,5.310225,6.50387
1.428858,2.588183,3.901643,5.191521,6.567873
1.475974,2.86094,4.130888,5.519193,6.793251
1.551939,2.72114,3.987961,5.299422,6.551306
1.456597,2.749737,4.090859,5.315268,6.66269
1.558314,2.647392,3.820271,4.996894,6.216516
0.9097506,2.087732,3.312121,4.600025,5.958844
0.9039754,2.135851,3.363792,4.746686,6.148996
0.8437263,2.16532,3.497316,4.688229,5.960293
1.424219,2.570983,3.658062,4.748291,5.869173
0.9983876,2.142181,3.453144,4.718768,5.894731
1.245462,2.555629,3.684632,4.908963,6.05508
1.624236,2.771749,3.797086,4.891846,6.044618
1.345369,2.632133,3.947639,5.175554,6.330205
1.786831,2.963194,4.235934,5.372106,6.6657
1.456772,2.665244,3.997986,5.16834,6.333002
0.9281561,2.213785,3.578234,4.830434,6.006148
2.101413,3.269446,4.373925,5.402973,6.532947
1.381807,2.657817,3.746467,5.016989,6.241136
1.144515,2.313171,3.459023,4.770415,6.010019
1.843613,2.996467,4.161773,5.298873,6.486106
0.853659,2.195535,3.607781,4.887819,6.125402
1.422289,2.524642,3.759383,4.966358,6.163721
1.977918,3.105599,4.392632,5.508677,6.753139
1.900545,3.101465,4.325599,5.471428,6.684842
1.78217,3.10305,4.38941,5.672245,6.976039
1.571924,2.810951,4.019688,5.216135,6.463977
1.510359,2.856492,4.162897,5.409441,6.606926
1.329916,2.523118,3.775716,4.981079,6.263451
2.295468,3.597279,4.829625,6.284032,
1.729702,3.050617,4.284656,5.611482,6.727674
1.777117,2.984769,4.288796,5.617886,6.801476
1.571662,2.816946,4.005455,5.196373,6.335599
1.687438,2.856127,3.904197,4.947604,6.098347
1.513417,2.582081,3.641846,4.816994,6.004847
1.158277,2.48052,3.837003,5.142886,6.428855
1.196386,2.514524,3.764347,4.884785,5.996126
0.998473,2.15779,3.509358,4.800046,5.998159
1.618997,2.840104,4.015657,5.258758,6.448322
1.456373,2.672842,3.93029,5.254305,6.581272
1.638031,2.890238,4.187431,5.379891,6.573529
1.729697,3.114308,4.530089,5.811155,
1.565008,2.708412,3.767344,4.87376,5.956631
1.30508,2.508496,3.717962,4.922944,6.150882
1.475817,2.657531,3.810007,5.08087,6.414635
1.581227,2.654719,3.784855,4.932399,6.0871
2.077706,3.115216,4.380464,5.480165,6.687171
1.776866,2.908974,4.00376,5.122307,6.45259
2.023003,3.249603,4.313214,5.544365,6.814138
1.774693,3.211302,4.613549,5.881933,
1.360445,2.664313,3.910385,5.150146,6.226415
1.437023,2.618937,3.778528,5.08973,6.405542
2.260644,3.592348,4.992792,6.402215,
0.8081394,2.178397,3.406085,4.692349,6.077427
1.387696,2.677764,3.961579,5.197859,6.414708
2.200663,3.528494,4.997567,6.273705,
1.522832,2.691387,3.752615,5.020165,6.159187
1.915241,3.210664,4.456922,5.720442,6.794714
1.327209,2.741042,3.922451,5.205178,6.387196
1.824422,2.973434,4.268444,5.480279,6.568387
1.321836,2.674114,3.976185,5.201731,6.532377
1.031646,2.219546,3.519274,4.666647,6.038958
2.238882,3.625022,4.959136,6.349589,
1.778879,2.99579,4.156832,5.266954,6.489526
1.627216,2.855701,4.019413,5.067811,6.211203
2.19131,3.221443,4.398266,5.515182,6.655474
0.9081952,2.171288,3.469324,4.820535,6.153978
0.9135302,2.113132,3.397454,4.556869,5.964086
1.77086,2.891861,3.992414,5.24914,6.377063
1.662868,2.809013,4.141727,5.356863,6.566716
2.097416,3.155308,4.296446,5.324697,6.372699
1.154063,2.285988,3.533183,4.671274,6.011018
1.095357,2.434427,3.637263,4.981596,6.206178
