date,participant,respmap,trial,block,trialID,walkSpeed,targOnset,clickOnset,reactionTime,intensity,signalPresent,targResponse,correctResponse
2026-03-12,9670,L:Present R:absent,0,0,0,0,2.693054,3.495457,0.8024037,1.5,True,1,1
2026-03-12,9670,L:Present R:absent,0,0,0,0,3.734213,4.474983,0.7407701,1.5,True,1,1
2026-03-12,9670,L:Present R:absent,0,0,0,0,5.803907,6.311355,0.5074482,1.5,True,1,1
2026-03-12,9670,L:Present R:absent,0,0,0,0,6.836603,7.481443,0.6448402,1.5,True,1,1
2026-03-12,9670,L:Present R:absent,1,0,1,0,2.107931,2.603352,0.4954205,1.5,True,1,1
2026-03-12,9670,L:Present R:absent,1,0,1,0,3.139332,3.98447,0.8451376,1.5,False,1,0
2026-03-12,9670,L:Present R:absent,1,0,1,0,5.197383,6.06708,0.8696961,1.5,False,0,1
2026-03-12,9670,L:Present R:absent,1,0,1,0,6.248292,7.02295,0.7746572,1.5,True,1,1
2026-03-12,9670,L:Present R:absent,2,0,2,1,2.57913,3.238058,0.6589277,1.5,False,0,1
2026-03-12,9670,L:Present R:absent,2,0,2,1,4.665494,5.372229,0.7067342,0.6,True,1,1
2026-03-12,9670,L:Present R:absent,2,0,2,1,5.69443,6.582634,0.8882046,0.55,True,1,1
2026-03-12,9670,L:Present R:absent,2,0,2,1,6.749365,6.773919,0.0245533,0.55,True,1,1
2026-03-12,9670,L:Present R:absent,3,0,3,1,2.182134,2.68104,0.4989061,0.5,False,0,1
2026-03-12,9670,L:Present R:absent,3,0,3,1,3.211786,3.792777,0.5809913,0.5,True,1,1
2026-03-12,9670,L:Present R:absent,3,0,3,1,4.236837,4.989495,0.7526579,0.45,True,1,1
2026-03-12,9670,L:Present R:absent,3,0,3,1,5.285793,5.852273,0.5664792,0.45,True,1,1
2026-03-12,9670,L:Present R:absent,3,0,3,1,6.324276,6.908543,0.5842662,0.4,False,0,1
2026-03-12,9670,L:Present R:absent,4,0,4,1,2.414054,2.994446,0.5803914,0.4,False,0,1
